CustomerID,Recency,Frequency,Monetary,AverageOrderValue,ProductVariety,Country,CustomerLifespanYears,LTV
12346.0,326,2,0.0,0.0,1,United Kingdom,0.0,0.0
12747.0,2,11,4196.009999999999,40.73796116504854,42,United Kingdom,1.0027397260273974,449.3452921931108
12748.0,1,224,28405.560000000005,6.370387979367572,1769,United Kingdom,1.0191780821917809,1454.3333960129892
12749.0,4,8,3868.2000000000007,16.74545454545455,160,United Kingdom,0.5726027397260274,76.70794520547946
12820.0,3,4,942.34,15.97186440677966,55,United Kingdom,0.8849315068493151,56.536024146737866
12821.0,214,1,92.72,15.453333333333333,6,United Kingdom,0.0,0.0
12822.0,71,3,918.9800000000001,19.552765957446812,41,United Kingdom,0.043835616438356165,2.571322646458759
12823.0,75,5,1759.5,351.9,1,United Kingdom,0.6054794520547945,1065.3410958904108
12824.0,60,1,397.11999999999995,15.884799999999998,25,United Kingdom,0.0,0.0
12826.0,3,8,1468.1200000000001,15.618297872340428,58,United Kingdom,0.9917808219178083,123.91942640629556
12827.0,6,3,430.15,17.206,19,United Kingdom,0.10410958904109589,5.373928767123287
12828.0,3,6,1018.71,18.19125,46,United Kingdom,0.34794520547945207,37.977349315068494
12829.0,322,3,253.05,21.087500000000002,9,United Kingdom,0.10136986301369863,6.41291095890411
12830.0,38,7,6748.400000000001,173.03589743589745,14,United Kingdom,0.36712328767123287,444.6785528626625
12831.0,262,1,215.05,23.894444444444446,9,United Kingdom,0.0,0.0
12832.0,32,2,383.03000000000003,14.186296296296298,27,United Kingdom,0.1780821917808219,5.0526534753932015
12833.0,145,1,417.38,17.390833333333333,24,United Kingdom,0.0,0.0
12834.0,283,1,312.38,17.354444444444443,18,United Kingdom,0.0,0.0
12836.0,59,4,2610.3599999999997,15.002068965517239,148,United Kingdom,0.6904109589041096,41.43037128011336
12837.0,173,1,134.1,11.174999999999999,12,United Kingdom,0.0,0.0
12838.0,34,2,671.95,5.599583333333333,115,United Kingdom,0.9315068493150684,10.432100456621004
12839.0,3,16,5583.62,17.669683544303798,96,United Kingdom,0.9972602739726028,281.94037523842553
12840.0,144,6,2714.2700000000004,23.39887931034483,67,United Kingdom,0.22465753424657534,31.540407179971666
12841.0,5,26,3845.63,8.88136258660508,230,United Kingdom,1.0054794520547945,232.18071726407035
12842.0,70,2,1118.99,32.9114705882353,34,United Kingdom,0.6520547945205479,42.92016438356165
12843.0,66,9,1680.7600000000002,15.562592592592594,69,United Kingdom,0.5424657534246575,75.97956164383561
12844.0,29,2,325.96,6.268461538461538,47,United Kingdom,0.27671232876712326,3.469121180189673
12845.0,267,4,354.09,13.114444444444443,26,United Kingdom,0.06027397260273973,3.161838660578386
12847.0,22,1,843.6399999999999,10.043333333333331,72,United Kingdom,0.0,0.0
